/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    E_norm_J             | 0.00127    |
|    W_neg_J              | 0.013      |
|    W_pos_J              | 0.0302     |
| reward/                 |            |
|    r_energy             | -0.0262    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.4       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 333        |
|    time_elapsed         | 29918      |
|    total_timesteps      | 1363968    |
| train/                  |            |
|    approx_kl            | 0.06756784 |
|    clip_fraction        | 0.488      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.114      |
|    explained_variance   | 0.957      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00906   |
|    n_updates            | 3320       |
|    policy_gradient_loss | 0.00871    |
|    std                  | 0.308      |
|    value_loss           | 0.0239     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00882     |
|    E_fric_J             | 0.00743     |
|    E_norm_J             | 0.00141     |
|    W_neg_J              | 0.0122      |
|    W_pos_J              | 0.0302      |
| reward/                 |             |
|    r_energy             | -0.0259     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.3        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 334         |
|    time_elapsed         | 30006       |
|    total_timesteps      | 1368064     |
| train/                  |             |
|    approx_kl            | 0.055838704 |
|    clip_fraction        | 0.486       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.121       |
|    explained_variance   | 0.951       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0104      |
|    n_updates            | 3330        |
|    policy_gradient_loss | 0.00878     |
|    std                  | 0.308       |
|    value_loss           | 0.0312      |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00829    |
|    E_fric_J             | 0.007      |
|    E_norm_J             | 0.0013     |
|    W_neg_J              | 0.0117     |
|    W_pos_J              | 0.0307     |
| reward/                 |            |
|    r_energy             | -0.0252    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.4       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 335        |
|    time_elapsed         | 30095      |
|    total_timesteps      | 1372160    |
| train/                  |            |
|    approx_kl            | 0.07012595 |
|    clip_fraction        | 0.514      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.133      |
|    explained_variance   | 0.935      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0148     |
|    n_updates            | 3340       |
|    policy_gradient_loss | 0.0132     |
|    std                  | 0.308      |
|    value_loss           | 0.037      |
----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.00888    |
|    E_fric_J             | 0.00721    |
|    E_norm_J             | 0.00139    |
|    W_neg_J              | 0.0128     |
|    W_pos_J              | 0.0318     |
| reward/                 |            |
|    r_energy             | -0.0267    |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | 23.5       |
| time/                   |            |
|    fps                  | 45         |
|    iterations           | 336        |
|    time_elapsed         | 30183      |
|    total_timesteps      | 1376256    |
| train/                  |            |
|    approx_kl            | 0.05679868 |
|    clip_fraction        | 0.477      |
|    clip_range           | 0.2        |
|    entropy_loss         | 0.0985     |
|    explained_variance   | 0.953      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00644   |
|    n_updates            | 3350       |
|    policy_gradient_loss | 0.0102     |
|    std                  | 0.309      |
|    value_loss           | 0.0265     |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00911     |
|    E_fric_J             | 0.00718     |
|    E_norm_J             | 0.00142     |
|    W_neg_J              | 0.0132      |
|    W_pos_J              | 0.0329      |
| reward/                 |             |
|    r_energy             | -0.0273     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.5        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 337         |
|    time_elapsed         | 30271       |
|    total_timesteps      | 1380352     |
| train/                  |             |
|    approx_kl            | 0.056959204 |
|    clip_fraction        | 0.461       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0641      |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00614    |
|    n_updates            | 3360        |
|    policy_gradient_loss | 0.00571     |
|    std                  | 0.311       |
|    value_loss           | 0.0309      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00942     |
|    E_fric_J             | 0.00744     |
|    E_norm_J             | 0.00138     |
|    W_neg_J              | 0.0131      |
|    W_pos_J              | 0.0339      |
| reward/                 |             |
|    r_energy             | -0.0278     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 23.6        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 338         |
|    time_elapsed         | 30359       |
|    total_timesteps      | 1384448     |
| train/                  |             |
|    approx_kl            | 0.068112075 |
|    clip_fraction        | 0.467       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.0438      |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0212      |
|    n_updates            | 3370        |
|    policy_gradient_loss | 0.00612     |
|    std                  | 0.312       |
|    value_loss           | 0.0342      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00933     |
|    E_fric_J             | 0.00749     |
|    E_norm_J             | 0.00139     |
|    W_neg_J              | 0.0124      |
|    W_pos_J              | 0.0356      |
| reward/                 |             |
|    r_energy             | -0.0279     |
